Sales Person,Country,Product,Date,Amount,Boxes Shipped,Payment Type,Time of Day,Unnamed: 8
Wilone O'Kielt,Australia,99% Dark & Pure,20-05-2025,10314.81,393,UPI,Evening,New South Wales
Oby Sorrel,UK,Milk Bars,24-02-2025,1482.16,248,Card,Afternoon,Scotland
Roddy Speechley,Australia,Choco Coated Almonds,27-10-2025,10781.68,328,UPI,Afternoon,New South Wales
Roddy Speechley,Australia,Peanut Butter Cubes,20-08-2025,10616.02,206,UPI,Morning,New South Wales
Dennison Crosswaite,Australia,50% Dark Bites,25-04-2025,4952.2,345,Card,Morning,Queensland
Roddy Speechley,UK,Peanut Butter Cubes,16-02-2025,3379.5,200,Cash,Afternoon,Wales
Gigi Bohling,UK,Choco Coated Almonds,08-11-2025,13721.56,265,Card,Morning,England
Marney O'Breen,Australia,Caramel Stuffed Bars,12-04-2025,6259.63,67,UPI,Morning,New South Wales
Brien Boise,UK,Baker's Choco Chips,30-07-2025,12395.28,98,UPI,Evening,England
Barr Faughny,UK,Eclairs,11-07-2025,11662.76,60,UPI,Afternoon,Wales
Kelci Walkden,Australia,Peanut Butter Cubes,01-05-2025,1999.57,71,Cash,Morning,New South Wales
Mallorie Waber,UK,Orange Choco,06-07-2025,2372.69,211,Cash,Evening,Scotland
Brien Boise,UK,Baker's Choco Chips,18-06-2025,8500.58,310,UPI,Morning,Scotland
Rafaelita Blaksland,India,Milk Bars,24-10-2025,11075.58,136,UPI,Morning,Tamil Nadu
Jehu Rudeforth,India,Choco Coated Almonds,11-07-2025,6800.96,353,UPI,Afternoon,Karnataka
Mallorie Waber,Australia,Raspberry Choco,27-01-2025,8324.78,278,UPI,Morning,New South Wales
Husein Augar,India,Peanut Butter Cubes,03-03-2025,5884.09,400,Card,Evening,Tamil Nadu
Madelene Upcott,UK,85% Dark Bars,09-07-2025,6843.79,234,Cash,Morning,Scotland
Madelene Upcott,UK,Choco Coated Almonds,17-02-2025,11960.58,233,Card,Afternoon,Scotland
Beverie Moffet,India,Eclairs,27-09-2025,9007.98,177,Cash,Afternoon,Maharashtra
Kaine Padly,Australia,Baker's Choco Chips,29-12-2025,14715.61,50,UPI,Morning,Victoria
Madelene Upcott,UK,Manuka Honey Choco,04-01-2025,7105.46,130,UPI,Morning,England
Husein Augar,Australia,Peanut Butter Cubes,02-12-2025,9274.42,104,UPI,Afternoon,New South Wales
Mallorie Waber,Australia,Mint Chip Choco,03-01-2025,8082.51,74,Card,Morning,Victoria
Camilla Castle,Australia,Caramel Stuffed Bars,31-03-2025,8706.68,272,Cash,Morning,Queensland
Oby Sorrel,India,Almond Choco,26-09-2025,12533.56,274,Card,Evening,Karnataka
Barr Faughny,UK,Almond Choco,15-10-2025,3826.12,365,Card,Afternoon,Scotland
Kelci Walkden,UK,Almond Choco,01-09-2025,8414.83,64,UPI,Afternoon,England
Madelene Upcott,UK,50% Dark Bites,09-04-2025,11932.71,400,Card,Evening,Wales
Camilla Castle,India,Organic Choco Syrup,01-09-2025,1254.81,74,Card,Morning,Maharashtra
Marney O'Breen,UK,50% Dark Bites,28-11-2025,1018.6,277,UPI,Afternoon,Wales
Kaine Padly,UK,Milk Bars,31-03-2025,3921.54,334,Card,Evening,Scotland
Jehu Rudeforth,UK,99% Dark & Pure,18-03-2025,3422.32,369,Card,Afternoon,Scotland
Barr Faughny,India,85% Dark Bars,24-08-2025,4182.96,117,UPI,Morning,Karnataka
Jehu Rudeforth,India,White Choc,24-11-2025,8904.61,208,Cash,Afternoon,Karnataka
Barr Faughny,India,Milk Bars,21-12-2025,1633.54,61,Cash,Afternoon,Karnataka
Brien Boise,UK,Almond Choco,19-10-2025,9732.96,264,Card,Afternoon,England
Rafaelita Blaksland,UK,99% Dark & Pure,28-01-2025,12192.18,121,Cash,Morning,England
Dotty Strutley,India,85% Dark Bars,12-08-2025,2266.04,192,Card,Evening,Tamil Nadu
Kaine Padly,UK,Drinking Coco,23-12-2025,9959.8,72,UPI,Morning,Scotland
Roddy Speechley,Australia,Fruit & Nut Bars,15-09-2025,9968.63,341,Card,Morning,New South Wales
Kelci Walkden,UK,Orange Choco,22-11-2025,9364.04,291,Cash,Afternoon,England
Dotty Strutley,India,Raspberry Choco,23-12-2025,8050.51,282,UPI,Evening,Tamil Nadu
Kelci Walkden,UK,Baker's Choco Chips,17-11-2025,8986.68,390,Card,Morning,England
Kaine Padly,UK,Mint Chip Choco,25-11-2025,14730.31,263,UPI,Evening,Scotland
Gunar Cockshoot,Australia,Baker's Choco Chips,18-03-2025,4078.61,135,Cash,Evening,Victoria
Dotty Strutley,Australia,70% Dark Bites,28-07-2025,12407.28,169,UPI,Morning,New South Wales
Oby Sorrel,India,50% Dark Bites,01-02-2025,7309.02,247,UPI,Morning,Tamil Nadu
Barr Faughny,Australia,Mint Chip Choco,13-05-2025,5369.84,50,Cash,Evening,Queensland
Jan Morforth,India,Fruit & Nut Bars,06-09-2025,6075.61,56,UPI,Evening,Tamil Nadu
Gigi Bohling,UK,70% Dark Bites,19-06-2025,1174.29,330,Card,Morning,Scotland
Kaine Padly,Australia,85% Dark Bars,23-10-2025,4427.52,291,UPI,Morning,New South Wales
Gigi Bohling,UK,70% Dark Bites,15-05-2025,3220.04,167,Cash,Afternoon,England
Marney O'Breen,UK,Mint Chip Choco,13-11-2025,4957.64,173,UPI,Evening,England
Rafaelita Blaksland,UK,White Choc,22-03-2025,13884.45,164,Card,Morning,Wales
Dotty Strutley,India,Smooth Sliky Salty,18-09-2025,13270.16,138,Cash,Morning,Maharashtra
Rafaelita Blaksland,UK,White Choc,17-01-2025,3189.77,132,Cash,Evening,Scotland
Curtice Advani,UK,Mint Chip Choco,31-05-2025,2371.03,344,Cash,Morning,Scotland
Jehu Rudeforth,India,Caramel Stuffed Bars,04-08-2025,1932.11,385,Cash,Morning,Karnataka
Mallorie Waber,India,Raspberry Choco,06-07-2025,3251.26,264,UPI,Morning,Maharashtra
Curtice Advani,India,Fruit & Nut Bars,08-12-2025,2622.66,257,Cash,Evening,Tamil Nadu
Dennison Crosswaite,UK,After Nines,08-10-2025,3605.04,181,Cash,Evening,England
Karlen McCaffrey,Australia,Peanut Butter Cubes,11-05-2025,1154.36,330,Card,Evening,Queensland
Madelene Upcott,Australia,Raspberry Choco,29-01-2025,5583.99,379,Card,Evening,Queensland
Roddy Speechley,Australia,99% Dark & Pure,23-05-2025,11397.38,394,Card,Evening,New South Wales
Brien Boise,Australia,Choco Coated Almonds,15-02-2025,14027.57,252,Card,Afternoon,New South Wales
Kelci Walkden,Australia,Fruit & Nut Bars,17-06-2025,5687.4,238,Cash,Afternoon,New South Wales
Van Tuxwell,India,Mint Chip Choco,31-01-2025,5102.42,259,Card,Evening,Karnataka
Madelene Upcott,UK,Manuka Honey Choco,17-07-2025,13613.95,272,Card,Afternoon,England
Andria Kimpton,India,Raspberry Choco,04-09-2025,13172.23,322,Card,Morning,Karnataka
Jehu Rudeforth,Australia,Baker's Choco Chips,05-01-2025,13240.63,319,Cash,Afternoon,Victoria
Beverie Moffet,UK,Orange Choco,13-10-2025,2827.77,301,Cash,Evening,Scotland
Roddy Speechley,India,Milk Bars,25-05-2025,5534.89,205,UPI,Evening,Maharashtra
Van Tuxwell,India,Peanut Butter Cubes,09-01-2025,5970.29,204,Card,Afternoon,Maharashtra
Jehu Rudeforth,Australia,99% Dark & Pure,11-05-2025,9213.14,296,Cash,Morning,Victoria
Beverie Moffet,UK,Choco Coated Almonds,17-01-2025,7439.6,363,UPI,Afternoon,England
Roddy Speechley,India,Peanut Butter Cubes,12-04-2025,5187.5,180,Cash,Afternoon,Tamil Nadu
Jan Morforth,Australia,Drinking Coco,10-02-2025,11245.24,210,Cash,Morning,New South Wales
Karlen McCaffrey,Australia,Fruit & Nut Bars,27-10-2025,4533.04,221,UPI,Morning,Victoria
Mallorie Waber,UK,Drinking Coco,09-08-2025,6031.88,173,Cash,Afternoon,Wales
Camilla Castle,Australia,99% Dark & Pure,23-10-2025,7192.91,335,UPI,Evening,Queensland
Curtice Advani,India,Mint Chip Choco,09-10-2025,9817.59,155,UPI,Morning,Tamil Nadu
Dotty Strutley,Australia,Organic Choco Syrup,10-03-2025,9187.52,340,Card,Morning,Victoria
Van Tuxwell,UK,50% Dark Bites,28-05-2025,9443.93,129,Cash,Evening,England
Rafaelita Blaksland,Australia,Peanut Butter Cubes,08-09-2025,7689.9,343,Cash,Afternoon,Queensland
Madelene Upcott,Australia,Caramel Stuffed Bars,30-04-2025,14889.53,231,UPI,Morning,New South Wales
Jan Morforth,India,99% Dark & Pure,25-10-2025,6729.18,158,Card,Evening,Karnataka
Dennison Crosswaite,UK,85% Dark Bars,12-03-2025,8552.92,70,Cash,Morning,Scotland
Van Tuxwell,Australia,Peanut Butter Cubes,10-08-2025,4126.85,210,Card,Morning,Victoria
Kelci Walkden,UK,Organic Choco Syrup,11-01-2025,4325.72,299,Card,Afternoon,Wales
Barr Faughny,India,Smooth Sliky Salty,07-12-2025,7336.49,244,UPI,Morning,Tamil Nadu
Marney O'Breen,Australia,Choco Coated Almonds,07-12-2025,1391.06,292,Cash,Morning,Victoria
Van Tuxwell,Australia,After Nines,12-03-2025,1003.06,166,UPI,Evening,Queensland
Marney O'Breen,India,Manuka Honey Choco,18-08-2025,3979.29,239,Cash,Evening,Tamil Nadu
Roddy Speechley,UK,Smooth Sliky Salty,26-03-2025,10544.39,222,Card,Morning,Scotland
Jan Morforth,India,Drinking Coco,20-10-2025,4367.8,378,Cash,Evening,Tamil Nadu
Gigi Bohling,UK,Fruit & Nut Bars,06-06-2025,4990.24,70,Card,Evening,Wales
Andria Kimpton,Australia,Drinking Coco,14-04-2025,7755.27,212,UPI,Afternoon,New South Wales
Marney O'Breen,Australia,Raspberry Choco,27-05-2025,3689.91,395,Card,Afternoon,New South Wales
Roddy Speechley,UK,Baker's Choco Chips,01-08-2025,7679.28,133,Cash,Evening,Scotland
Rafaelita Blaksland,India,Drinking Coco,13-06-2025,2040.95,372,Card,Morning,Karnataka
Wilone O'Kielt,Australia,Organic Choco Syrup,05-07-2025,13284.09,330,Card,Morning,New South Wales
Van Tuxwell,UK,Fruit & Nut Bars,28-09-2025,12218.05,157,Cash,Afternoon,Scotland
Karlen McCaffrey,UK,Milk Bars,07-10-2025,11706.82,119,Card,Morning,Wales
Camilla Castle,India,Choco Coated Almonds,19-04-2025,9336.47,294,Card,Evening,Tamil Nadu
Van Tuxwell,UK,Raspberry Choco,15-01-2025,12524.41,247,UPI,Morning,Wales
Andria Kimpton,Australia,White Choc,26-02-2025,5945.36,57,UPI,Afternoon,New South Wales
Dennison Crosswaite,UK,White Choc,10-05-2025,9965.97,104,Card,Morning,England
Curtice Advani,UK,Almond Choco,30-10-2025,3383.09,103,Card,Afternoon,Scotland
Gunar Cockshoot,India,70% Dark Bites,30-01-2025,1426.56,294,Cash,Afternoon,Maharashtra
Camilla Castle,Australia,Caramel Stuffed Bars,17-06-2025,5197.27,393,Cash,Evening,Queensland
Roddy Speechley,Australia,Raspberry Choco,14-04-2025,1917.1,269,Cash,Morning,Victoria
Kaine Padly,India,Milk Bars,21-04-2025,13279.22,223,Cash,Evening,Karnataka
Kelci Walkden,India,Mint Chip Choco,03-03-2025,6143.78,55,UPI,Morning,Karnataka
Brien Boise,UK,Caramel Stuffed Bars,23-05-2025,11921.77,364,Cash,Afternoon,England
Van Tuxwell,India,Spicy Special Slims,13-07-2025,4548.33,306,Cash,Evening,Tamil Nadu
Husein Augar,Australia,Mint Chip Choco,30-09-2025,1618.95,276,UPI,Evening,Queensland
Andria Kimpton,UK,Caramel Stuffed Bars,13-11-2025,5503.44,400,Cash,Evening,Scotland
Andria Kimpton,India,Choco Coated Almonds,30-06-2025,12854.54,339,Cash,Afternoon,Tamil Nadu
Kaine Padly,Australia,99% Dark & Pure,26-01-2025,6269.47,65,UPI,Afternoon,Victoria
Curtice Advani,Australia,Eclairs,27-07-2025,12126.1,77,Card,Afternoon,Victoria
Curtice Advani,India,Organic Choco Syrup,01-07-2025,11379.48,141,Cash,Evening,Maharashtra
Kelci Walkden,Australia,Caramel Stuffed Bars,19-07-2025,6232.3,308,Cash,Morning,Victoria
Kaine Padly,UK,Smooth Sliky Salty,15-01-2025,7730.06,369,Cash,Afternoon,England
Wilone O'Kielt,UK,Spicy Special Slims,27-09-2025,3719.9,169,Cash,Afternoon,England
Van Tuxwell,UK,50% Dark Bites,15-09-2025,11206.4,284,UPI,Afternoon,Scotland
Husein Augar,Australia,Smooth Sliky Salty,21-04-2025,11205.7,157,Cash,Morning,Victoria
Roddy Speechley,Australia,Caramel Stuffed Bars,20-07-2025,13427.59,240,UPI,Morning,New South Wales
Wilone O'Kielt,Australia,Raspberry Choco,22-08-2025,8323.6,179,UPI,Morning,Queensland
Madelene Upcott,Australia,Smooth Sliky Salty,25-01-2025,14042.89,231,Cash,Evening,Victoria
Curtice Advani,India,99% Dark & Pure,18-03-2025,7415.57,132,Cash,Morning,Maharashtra
Mallorie Waber,UK,Eclairs,25-02-2025,7085.44,114,UPI,Morning,Wales
Kelci Walkden,UK,After Nines,16-06-2025,4678.49,102,UPI,Evening,Wales
Kelci Walkden,Australia,Fruit & Nut Bars,23-06-2025,14169.13,166,Cash,Afternoon,Victoria
Kelci Walkden,Australia,White Choc,23-04-2025,4763.84,123,Cash,Evening,Victoria
Oby Sorrel,India,Caramel Stuffed Bars,24-10-2025,9184.42,73,Cash,Morning,Tamil Nadu
Ches Bonnell,India,Peanut Butter Cubes,03-06-2025,11985.46,261,Card,Evening,Karnataka
Rafaelita Blaksland,Australia,Choco Coated Almonds,25-12-2025,6094.73,309,UPI,Evening,Victoria
Beverie Moffet,India,Choco Coated Almonds,03-05-2025,4185.27,261,Cash,Afternoon,Karnataka
Ches Bonnell,UK,Manuka Honey Choco,24-01-2025,5782.81,254,Card,Morning,England
Oby Sorrel,India,99% Dark & Pure,22-07-2025,2618.36,304,Cash,Evening,Karnataka
Oby Sorrel,UK,Spicy Special Slims,25-11-2025,13573.13,314,UPI,Evening,England
Madelene Upcott,UK,White Choc,20-12-2025,9915.87,372,Cash,Evening,Scotland
Curtice Advani,Australia,White Choc,22-12-2025,1013.88,200,Card,Afternoon,Queensland
Gigi Bohling,Australia,Drinking Coco,03-06-2025,13856.07,400,Card,Evening,Queensland
Barr Faughny,Australia,99% Dark & Pure,11-11-2025,13362.23,268,Cash,Afternoon,Queensland
Beverie Moffet,Australia,Orange Choco,09-03-2025,10355.36,254,Cash,Evening,Queensland
Brien Boise,Australia,Mint Chip Choco,15-05-2025,5844.44,320,Card,Evening,New South Wales
Oby Sorrel,India,Organic Choco Syrup,20-11-2025,5317.86,219,UPI,Morning,Tamil Nadu
Wilone O'Kielt,India,Baker's Choco Chips,22-01-2025,6876.44,201,UPI,Afternoon,Maharashtra
Jan Morforth,India,Peanut Butter Cubes,28-04-2025,9002.5,278,Cash,Morning,Maharashtra
Oby Sorrel,India,Mint Chip Choco,03-03-2025,3646.46,332,UPI,Evening,Karnataka
Wilone O'Kielt,India,White Choc,22-04-2025,8526.93,92,UPI,Afternoon,Karnataka
Barr Faughny,India,Raspberry Choco,14-09-2025,14137.94,287,Card,Evening,Maharashtra
Karlen McCaffrey,India,White Choc,08-11-2025,6127.38,207,UPI,Afternoon,Maharashtra
Jehu Rudeforth,Australia,White Choc,09-07-2025,3681.16,256,UPI,Morning,New South Wales
Mallorie Waber,India,Raspberry Choco,26-07-2025,2392.79,160,UPI,Morning,Maharashtra
Roddy Speechley,Australia,Peanut Butter Cubes,28-04-2025,3749.77,303,Card,Evening,New South Wales
Karlen McCaffrey,UK,Baker's Choco Chips,13-05-2025,1724.98,313,Cash,Evening,Scotland
Kelci Walkden,India,Organic Choco Syrup,27-11-2025,7081.86,235,Card,Afternoon,Tamil Nadu
Curtice Advani,Australia,Manuka Honey Choco,14-08-2025,8641.45,53,Cash,Evening,Queensland
Camilla Castle,India,Milk Bars,14-04-2025,11562.47,311,Cash,Afternoon,Tamil Nadu
Andria Kimpton,India,Drinking Coco,01-02-2025,1693.04,317,UPI,Morning,Karnataka
Kelci Walkden,UK,70% Dark Bites,06-03-2025,14049.94,294,Cash,Morning,Scotland
Marney O'Breen,UK,Almond Choco,05-03-2025,11245.98,61,UPI,Evening,England
Dennison Crosswaite,India,Eclairs,08-07-2025,8452.09,124,Cash,Evening,Karnataka
Brien Boise,India,Caramel Stuffed Bars,09-01-2025,10307.86,290,UPI,Evening,Maharashtra
Kelci Walkden,India,50% Dark Bites,09-09-2025,4265.03,286,Card,Evening,Karnataka
Kaine Padly,Australia,Almond Choco,20-10-2025,6140.33,137,Cash,Evening,Victoria
Kelci Walkden,India,Milk Bars,01-05-2025,9233.27,312,Cash,Afternoon,Tamil Nadu
Gigi Bohling,UK,After Nines,19-10-2025,8291.27,95,UPI,Afternoon,Wales
Dotty Strutley,UK,Peanut Butter Cubes,21-06-2025,3305.49,371,Cash,Afternoon,Wales
Gigi Bohling,Australia,Smooth Sliky Salty,28-08-2025,9020.31,176,Cash,Afternoon,New South Wales
Roddy Speechley,UK,85% Dark Bars,07-09-2025,14115.16,177,Cash,Evening,Wales
Beverie Moffet,UK,Milk Bars,14-07-2025,8809.17,308,UPI,Evening,Scotland
Kaine Padly,Australia,White Choc,19-05-2025,5728.32,273,Card,Afternoon,Victoria
Brien Boise,Australia,50% Dark Bites,26-07-2025,10183.98,172,UPI,Evening,New South Wales
Wilone O'Kielt,Australia,Baker's Choco Chips,10-03-2025,7438.42,198,Card,Morning,Queensland
Andria Kimpton,Australia,99% Dark & Pure,28-07-2025,13942.48,227,Cash,Afternoon,Victoria
Andria Kimpton,UK,Organic Choco Syrup,02-12-2025,4805.39,170,UPI,Afternoon,Scotland
Karlen McCaffrey,India,Peanut Butter Cubes,09-09-2025,11506.0,231,Card,Morning,Maharashtra
Marney O'Breen,Australia,85% Dark Bars,11-11-2025,5821.14,100,Card,Evening,Victoria
Jehu Rudeforth,India,Organic Choco Syrup,21-09-2025,9982.2,218,Card,Morning,Tamil Nadu
Mallorie Waber,UK,Drinking Coco,04-11-2025,9003.81,205,Cash,Morning,England
Madelene Upcott,Australia,Almond Choco,21-07-2025,13735.32,309,Cash,Evening,Victoria
Beverie Moffet,India,Mint Chip Choco,19-09-2025,6886.52,205,Cash,Afternoon,Tamil Nadu
Kelci Walkden,India,Manuka Honey Choco,25-09-2025,6054.24,373,UPI,Evening,Karnataka
Gunar Cockshoot,India,Smooth Sliky Salty,18-06-2025,6359.34,55,Card,Morning,Tamil Nadu
Barr Faughny,Australia,After Nines,21-06-2025,4647.9,342,UPI,Afternoon,Queensland
Roddy Speechley,India,Smooth Sliky Salty,16-11-2025,3728.13,308,Cash,Morning,Karnataka
Beverie Moffet,Australia,Baker's Choco Chips,08-02-2025,14849.36,150,UPI,Afternoon,New South Wales
Jan Morforth,India,Caramel Stuffed Bars,26-09-2025,10141.89,83,Card,Evening,Maharashtra
Jan Morforth,Australia,Caramel Stuffed Bars,17-04-2025,9485.6,390,Cash,Afternoon,Victoria
Jan Morforth,UK,Caramel Stuffed Bars,17-09-2025,6465.54,155,UPI,Evening,Scotland
Gigi Bohling,UK,Peanut Butter Cubes,01-11-2025,11975.67,393,Card,Afternoon,Scotland
Gigi Bohling,India,85% Dark Bars,06-12-2025,2661.11,277,Cash,Evening,Tamil Nadu
Oby Sorrel,Australia,Baker's Choco Chips,18-11-2025,4072.75,264,UPI,Morning,New South Wales
Jan Morforth,India,Smooth Sliky Salty,23-03-2025,13802.62,282,Cash,Evening,Karnataka
Gunar Cockshoot,Australia,White Choc,19-07-2025,2560.98,322,Cash,Morning,Queensland
Husein Augar,Australia,Baker's Choco Chips,02-01-2025,13482.81,316,UPI,Morning,New South Wales
Roddy Speechley,Australia,Choco Coated Almonds,08-05-2025,4829.13,307,UPI,Evening,Queensland
Dennison Crosswaite,Australia,Spicy Special Slims,22-04-2025,8026.64,366,Card,Morning,Queensland
Dennison Crosswaite,UK,Mint Chip Choco,13-10-2025,5322.21,91,UPI,Morning,Wales
Andria Kimpton,UK,Caramel Stuffed Bars,26-08-2025,14903.95,188,Card,Afternoon,Wales
Oby Sorrel,India,Fruit & Nut Bars,06-12-2025,6494.12,302,Card,Evening,Karnataka
Mallorie Waber,UK,After Nines,17-12-2025,3091.87,321,UPI,Afternoon,Scotland
Dennison Crosswaite,India,70% Dark Bites,10-04-2025,7577.98,81,Card,Evening,Maharashtra
Oby Sorrel,Australia,Spicy Special Slims,19-06-2025,3203.82,257,UPI,Morning,Victoria
Gunar Cockshoot,India,Drinking Coco,29-03-2025,4852.67,181,UPI,Morning,Maharashtra
Gigi Bohling,Australia,Baker's Choco Chips,10-10-2025,8275.43,296,Card,Afternoon,New South Wales
Barr Faughny,Australia,Orange Choco,16-04-2025,3388.64,286,UPI,Morning,Queensland
Beverie Moffet,UK,Fruit & Nut Bars,23-07-2025,5771.74,241,Cash,Afternoon,Scotland
Brien Boise,India,Drinking Coco,29-05-2025,9896.54,67,Card,Afternoon,Maharashtra
Wilone O'Kielt,UK,Caramel Stuffed Bars,25-02-2025,2884.21,298,UPI,Evening,Scotland
Dennison Crosswaite,UK,Manuka Honey Choco,09-05-2025,9404.53,165,Cash,Afternoon,Scotland
Camilla Castle,India,Baker's Choco Chips,30-09-2025,8189.28,82,UPI,Afternoon,Maharashtra
Camilla Castle,UK,Spicy Special Slims,21-11-2025,2246.42,366,Card,Morning,Wales
Gunar Cockshoot,UK,Almond Choco,24-11-2025,7989.43,173,Card,Evening,Wales
Ches Bonnell,India,Baker's Choco Chips,12-08-2025,12862.41,113,Card,Evening,Maharashtra
Karlen McCaffrey,UK,Eclairs,06-09-2025,7166.89,80,UPI,Evening,Scotland
Husein Augar,Australia,Drinking Coco,09-03-2025,13236.64,399,Card,Morning,Queensland
Karlen McCaffrey,India,99% Dark & Pure,16-10-2025,9258.85,260,Cash,Evening,Tamil Nadu
Husein Augar,Australia,Raspberry Choco,23-05-2025,14583.39,281,Cash,Morning,Queensland
Marney O'Breen,UK,Milk Bars,14-08-2025,1559.84,290,UPI,Morning,England
Madelene Upcott,Australia,Drinking Coco,04-08-2025,4997.58,305,Cash,Evening,Victoria
Karlen McCaffrey,UK,Orange Choco,09-01-2025,10933.45,354,Cash,Afternoon,Scotland
Dennison Crosswaite,Australia,50% Dark Bites,15-10-2025,3871.36,55,Cash,Evening,Victoria
Marney O'Breen,Australia,Manuka Honey Choco,08-01-2025,10955.99,290,Card,Evening,Victoria
Mallorie Waber,Australia,Baker's Choco Chips,21-04-2025,4010.41,276,Cash,Evening,Victoria
Van Tuxwell,UK,Eclairs,21-04-2025,10001.22,299,UPI,Evening,Scotland
Gigi Bohling,India,50% Dark Bites,09-01-2025,6172.07,361,Card,Afternoon,Tamil Nadu
Ches Bonnell,UK,Mint Chip Choco,06-03-2025,11120.97,107,Card,Evening,Wales
Roddy Speechley,UK,After Nines,24-03-2025,5204.37,352,Cash,Afternoon,Wales
Karlen McCaffrey,Australia,Milk Bars,22-04-2025,9819.94,86,UPI,Afternoon,Queensland
Madelene Upcott,India,Fruit & Nut Bars,30-06-2025,6506.85,246,Cash,Afternoon,Maharashtra
Kaine Padly,Australia,Peanut Butter Cubes,13-09-2025,4074.84,297,UPI,Evening,Victoria
Brien Boise,India,Choco Coated Almonds,04-09-2025,9363.51,57,UPI,Evening,Maharashtra
Gigi Bohling,India,Drinking Coco,07-07-2025,5864.46,268,UPI,Morning,Karnataka
Mallorie Waber,India,After Nines,10-11-2025,4035.89,375,Cash,Morning,Karnataka
Van Tuxwell,UK,White Choc,22-11-2025,11637.04,64,UPI,Evening,Scotland
Karlen McCaffrey,Australia,70% Dark Bites,28-01-2025,13480.21,129,UPI,Morning,Victoria
Madelene Upcott,India,Almond Choco,24-07-2025,2861.89,154,UPI,Evening,Maharashtra
Wilone O'Kielt,UK,Mint Chip Choco,30-03-2025,9153.44,254,Card,Afternoon,Wales
Roddy Speechley,UK,Milk Bars,21-04-2025,14634.65,232,UPI,Morning,Wales
Oby Sorrel,Australia,Smooth Sliky Salty,15-08-2025,13165.89,78,Card,Morning,Victoria
Madelene Upcott,UK,Peanut Butter Cubes,11-09-2025,12434.79,295,Card,Afternoon,Scotland
Beverie Moffet,India,Choco Coated Almonds,06-08-2025,1999.01,224,UPI,Morning,Karnataka
Gunar Cockshoot,India,Mint Chip Choco,25-04-2025,6295.68,393,Cash,Evening,Tamil Nadu
Mallorie Waber,India,70% Dark Bites,16-03-2025,2265.55,345,Cash,Evening,Tamil Nadu
Mallorie Waber,India,White Choc,28-08-2025,4369.59,245,Card,Morning,Karnataka
Mallorie Waber,India,Caramel Stuffed Bars,02-04-2025,8949.27,241,Card,Evening,Karnataka
Marney O'Breen,UK,70% Dark Bites,30-03-2025,10374.9,130,Cash,Afternoon,Wales
Curtice Advani,Australia,Organic Choco Syrup,10-04-2025,8127.18,330,Card,Evening,Victoria
Van Tuxwell,India,Milk Bars,23-01-2025,1054.05,274,Card,Afternoon,Maharashtra
Karlen McCaffrey,India,Almond Choco,22-06-2025,9235.33,235,Cash,Evening,Maharashtra
Gigi Bohling,UK,Raspberry Choco,03-05-2025,5757.01,302,UPI,Afternoon,Scotland
Karlen McCaffrey,UK,Orange Choco,05-06-2025,2962.15,216,Cash,Afternoon,England
Wilone O'Kielt,India,Choco Coated Almonds,12-10-2025,3719.07,393,Card,Morning,Tamil Nadu
Husein Augar,UK,50% Dark Bites,31-05-2025,13691.7,135,Card,Morning,England
Roddy Speechley,Australia,Baker's Choco Chips,21-11-2025,12925.26,179,UPI,Morning,Victoria
Husein Augar,Australia,Orange Choco,15-12-2025,9964.57,285,Card,Afternoon,New South Wales
Jan Morforth,Australia,After Nines,13-03-2025,5678.41,164,Card,Afternoon,Queensland
Gunar Cockshoot,Australia,Spicy Special Slims,24-08-2025,7754.5,369,Cash,Afternoon,Victoria
Rafaelita Blaksland,Australia,Smooth Sliky Salty,08-07-2025,7661.11,296,Cash,Afternoon,New South Wales
Beverie Moffet,India,85% Dark Bars,09-09-2025,13131.58,339,Cash,Evening,Tamil Nadu
Van Tuxwell,Australia,Choco Coated Almonds,05-11-2025,9682.81,124,Card,Morning,Queensland
Gigi Bohling,Australia,Mint Chip Choco,21-12-2025,3622.07,143,Cash,Evening,New South Wales
Marney O'Breen,Australia,Eclairs,16-12-2025,10067.94,144,Card,Afternoon,Queensland
Roddy Speechley,Australia,Baker's Choco Chips,10-11-2025,5109.91,322,UPI,Afternoon,Queensland
Dennison Crosswaite,Australia,99% Dark & Pure,23-02-2025,7365.27,231,Card,Afternoon,New South Wales
Husein Augar,Australia,50% Dark Bites,03-01-2025,2533.98,125,Card,Evening,Queensland
Andria Kimpton,Australia,Raspberry Choco,29-08-2025,14543.01,88,Card,Morning,Victoria
Kaine Padly,Australia,99% Dark & Pure,10-12-2025,12216.66,119,Cash,Afternoon,New South Wales
Husein Augar,India,Mint Chip Choco,03-11-2025,12880.57,236,UPI,Evening,Karnataka
Jan Morforth,India,Manuka Honey Choco,30-09-2025,9533.01,372,UPI,Evening,Karnataka
Rafaelita Blaksland,India,50% Dark Bites,29-01-2025,12937.61,377,Cash,Afternoon,Karnataka
Gigi Bohling,India,Raspberry Choco,29-03-2025,3778.3,162,Cash,Afternoon,Tamil Nadu
Rafaelita Blaksland,UK,Manuka Honey Choco,06-03-2025,13837.38,183,UPI,Evening,Scotland
Ches Bonnell,UK,Almond Choco,12-10-2025,2090.5,53,Card,Evening,Scotland
Barr Faughny,India,Caramel Stuffed Bars,10-03-2025,8235.57,132,UPI,Afternoon,Maharashtra
Madelene Upcott,Australia,Caramel Stuffed Bars,23-09-2025,6800.18,286,UPI,Morning,Victoria
